/workspaces/posthog/env/lib/python3.10/site-packages/pytest_asyncio/plugin.py:173: DeprecationWarning: You're using an outdated version of pytest. Newer releases of pytest-asyncio will not be compatible with this pytest version. Please update pytest to version 7 or later.
  warnings.warn(
============================= test session starts ==============================
platform linux -- Python 3.10.12, pytest-6.2.5, py-1.10.0, pluggy-0.13.1 -- /workspaces/posthog/env/bin/python3
cachedir: .pytest_cache
django: settings: posthog.settings (from ini)
rootdir: /workspaces/posthog, configfile: pytest.ini
plugins: celery-4.4.7, flaky-3.7.0, timeout-2.1.0, env-0.6.2, cov-2.12.1, icdiff-0.5, syrupy-1.4.6, asyncio-0.20.3, Faker-17.5.0, mock-3.5.1, django-4.1.0, split-0.6.0
asyncio: mode=strict
collecting ... collected 2649 items

hogvm/python/test/test_execute.py::TestBytecodeExecute::test_async_operations PASSED [  0%]
hogvm/python/test/test_execute.py::TestBytecodeExecute::test_bytecode_create PASSED [  0%]
hogvm/python/test/test_execute.py::TestBytecodeExecute::test_errors PASSED [  0%]
hogvm/python/test/test_execute.py::TestBytecodeExecute::test_nested_value PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_cant_make_templates_without_teamid_private FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_create_and_get_dashboard_template_with_tile PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_dashboard_template_schema PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_delete_dashboard_template_by_id FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_filter_template_list_by_scope PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_get_dashboard_template_by_id FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_non_staff_can_get_public_dashboard_templates FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_non_staff_cannot_edit_dashboard_template FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_non_staff_cannot_make_dashboard_template_public PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_non_staff_user_cannot_create_dashboard FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_non_staff_user_cannot_delete_dashboard_template_by_id FAILED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_staff_can_make_dashboard_template_private PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_staff_can_make_dashboard_template_public PASSED [  0%]
posthog/api/dashboards/test/test_dashboard_templates.py::TestDashboardTemplates::test_update_dashboard_template_by_id FAILED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_cant_create_action_with_the_same_name PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_create_action PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_create_action_event_with_space PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_create_from_other_domain PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_create_tags_on_non_ee_not_allowed PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_empty_tags_does_not_delete_tags PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_get_event_count PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_get_tags_on_non_ee_returns_empty_list PASSED [  0%]
posthog/api/test/test_action.py::TestActionApi::test_hard_deletion_is_forbidden PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_hogql_filter PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_hogql_filter_no_event PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_http_to_https PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_listing_actions_is_not_nplus1 PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_undefined_tags_allows_other_props_to_update PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_update_action PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_update_action_remove_all_steps PASSED [  1%]
posthog/api/test/test_action.py::TestActionApi::test_update_tags_on_non_ee_not_allowed PASSED [  1%]
posthog/api/test/test_activity_log.py::TestActivityLog::test_can_get_top_ten_important_changes PASSED [  1%]
posthog/api/test/test_activity_log.py::TestActivityLog::test_reading_notifications_marks_them_unread PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_can_create_annotations_as_a_bot PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_cannot_fetch_annotations_of_org_user_does_not_belong_to PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_creating_annotation PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_deleting_annotation PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_downgrading_scope_from_org_to_project_uses_team_id_from_api PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_org_scoped_annotations_are_returned_between_projects PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_retrieving_annotation PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_retrieving_annotation_is_not_n_plus_1 PASSED [  1%]
posthog/api/test/test_annotation.py::TestAnnotation::test_updating_annotation PASSED [  1%]
posthog/api/test/test_app_metrics.py::TestAppMetricsAPI::test_error_details PASSED [  1%]
posthog/api/test/test_app_metrics.py::TestAppMetricsAPI::test_list_historical_exports PASSED [  1%]
posthog/api/test/test_app_metrics.py::TestAppMetricsAPI::test_retrieve PASSED [  1%]
posthog/api/test/test_app_metrics.py::TestAppMetricsAPI::test_retrieve_historical_export PASSED [  1%]
